						
#station_barter						
Id	CorpProduceItems	CorpAdditionalConsumeItems	CivResProduceItems	CivResAdditionalConsumeItems	QuasiProduceItems	QuasiAdditionalConsumeItems
Paragon	prod_industry_1 prod_industry_3 prod_industry_4 prod_industry_5 capital_asset_1	servo_backpack regular_food_container electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
Phenomenon	prod_devices_4 prod_devices_5 prod_devices_6	servo_backpack regular_food_container electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
SterlingsFarm	food_mining_2 food_mining_3	regular_clothing_container worker_clothing_container ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
HartsWarehouse	food_industry_1 food_industry_2 food_industry_3 food_industry_4	regular_clothing_container worker_clothing_container ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
FullersCore	entertaiment_action_2 entertaiment_action_3 entertaiment_action_4	morphine rocketCandy caviar wagyu_steak truffle_oil tuna_steak packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
PlatosAcademy	science_mining_3 science_mining_1 spy_action_1 power_action_5	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
AvicennasClinic	science_devices_2 science_devices_3 science_devices_7	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
VanDeGraaff	science_mining_3 science_mining_2	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
ChickMoo	food_industry_1 food_industry_2 food_industry_3 food_industry_4	regular_clothing_container worker_clothing_container ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
LandscronaCenter	spy_action_5 spy_action_1 spy_action_2	luxury_food_container alcogol_container regular_clothing_container miner_clothing_container worker_clothing_container scientist_clothing_container security_clothing_container weapon_container armor_container tool_container geoscanner_device welding_machine_device chemical_analyzer quasiresearch_disk entertainment_software precious_metals itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
CenterDefense	military_devices_1 military_devices_2 military_devices_3 military_devices_4	military_food_container communication_relay mining_equipment construction_equipment memory_software entertainment_software packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
ZeroGravity	power_action_1 power_action_4	military_food_container communication_relay mining_equipment construction_equipment memory_software entertainment_software packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
MTZ	prod_devices_1 prod_devices_2 prod_devices_3 science_industry_4	servo_backpack regular_food_container electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
QiHelium	prod_industry_1 prod_industry_3 prod_industry_4 prod_industry_5	servo_backpack regular_food_container electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
AnCapDogma	prod_mining_1 prod_mining_5 prod_mining_2 transit_2	servo_backpack regular_food_container electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
MoonTradeCenter	entertaiment_action_4 entertaiment_action_5	morphine rocketCandy caviar wagyu_steak truffle_oil tuna_steak packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
Candle	spy_action_1 spy_action_2 spy_action_3 spy_action_4 entertaiment_action_3	miner_clothing_container worker_clothing_container weapon_container electrical_parts_container ai_module communication_relay quasi_sensor_device geoscanner_device medical_equipment chemical_analyzer hydraulic_pump packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
AllianceArcology	spy_action_1 spy_action_2 spy_action_3 spy_action_4 science_devices_6	miner_clothing_container worker_clothing_container weapon_container electrical_parts_container ai_module communication_relay quasi_sensor_device geoscanner_device medical_equipment chemical_analyzer hydraulic_pump packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
Tycho	other_industry_1 other_industry_6 transit_5	military_food_container communication_relay mining_equipment construction_equipment memory_software entertainment_software packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
ShuCenter	spy_mining_1 spy_mining_2 spy_mining_3	miner_clothing_container worker_clothing_container weapon_container electrical_parts_container ai_module communication_relay quasi_sensor_device geoscanner_device medical_equipment chemical_analyzer hydraulic_pump packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
RedTiangong	food_industry_1 food_industry_2 food_industry_3 food_industry_4	regular_clothing_container worker_clothing_container ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
RebusSkyCity	prod_devices_4 prod_devices_5 prod_devices_6	servo_backpack regular_food_container electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
HISAres	military_devices_4 military_devices_5 military_devices_6 military_devices_1 other_industry_7	luxury_food_container alcogol_container regular_clothing_container miner_clothing_container worker_clothing_container scientist_clothing_container security_clothing_container weapon_container armor_container tool_container geoscanner_device welding_machine_device chemical_analyzer quasiresearch_disk entertainment_software precious_metals itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
Argyre	prod_mining_1 prod_mining_5 prod_mining_2 power_action_5	servo_backpack regular_food_container electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
SinkholeOasis	military_devices_4 military_devices_5 military_devices_6 military_devices_2	luxury_food_container alcogol_container regular_clothing_container miner_clothing_container worker_clothing_container scientist_clothing_container security_clothing_container weapon_container armor_container tool_container geoscanner_device welding_machine_device chemical_analyzer quasiresearch_disk entertainment_software precious_metals itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
Gloria	prod_mining_3 prod_mining_4 transit_3	servo_backpack regular_food_container electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
IntercityTradeCenter	entertaiment_action_5 entertaiment_action_1 transit_4	morphine rocketCandy caviar wagyu_steak truffle_oil tuna_steak packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
Charon	other_industry_1 other_industry_2 other_industry_3 other_industry_6	military_food_container communication_relay mining_equipment construction_equipment memory_software entertainment_software packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
Canaan	prod_devices_1 prod_devices_2 prod_devices_3	servo_backpack regular_food_container electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
Hypnos	food_mining_1 food_mining_3	regular_clothing_container worker_clothing_container ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
Orphan	prod_mining_3 prod_mining_4	servo_backpack regular_food_container electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
RogueCity	military_devices_1 military_devices_2 military_devices_5 military_devices_6	luxury_food_container alcogol_container regular_clothing_container miner_clothing_container worker_clothing_container scientist_clothing_container security_clothing_container weapon_container armor_container tool_container geoscanner_device welding_machine_device chemical_analyzer quasiresearch_disk entertainment_software precious_metals itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_1	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
SwiftAndVoltaire	science_industry_1 science_industry_2 science_industry_3 science_industry_4	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
AresPost	spy_mining_1 spy_mining_2 spy_mining_3	miner_clothing_container worker_clothing_container weapon_container electrical_parts_container ai_module communication_relay quasi_sensor_device geoscanner_device medical_equipment chemical_analyzer hydraulic_pump packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
Warden	food_mining_2 food_mining_3 transit_6	regular_clothing_container worker_clothing_container ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
DarkFlora	science_mining_1 science_mining_2 capital_asset_1	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
Sundog	prod_mining_1 prod_mining_5 prod_mining_2	servo_backpack regular_food_container electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB	resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container regular_food_container water_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	regular_clothing_container weapon_container robot_parts_container ai_module medical_equipment quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components
#end						
						
#barter_receipts						
Id	InputItems	OutputItems	OutputTechLevelGain	OutputPowerGain	ProduceTimeInHours	
prod_mining_1	mining_equipment geoscanner_device	precious_metals armor_shards weapon_shards precious_metals armor_shards weapon_shards	0.03	2	96	
prod_mining_2	packaged_industrial_robot	blunt_melee_shards pierce_melee_shards blunt_melee_shards ceramite_shards ceramite_shards	0.03	2	96	
prod_mining_3	construction_equipment	rusty_shards coarse_gears rod rusty_shards coarse_gears rod ceramite_shards ceramite_shards	0.03	2	96	
prod_mining_4	miner_clothing_container	armor_shards weapon_shards blunt_melee_shards pierce_melee_shards precious_metals	0.03	2	96	
prod_mining_5	miner_clothing_container	rusty_shards coarse_gears rod precious_metals ceramite_shards ceramite_shards	0.03	2	96	
science_mining_1	medical_equipment chemical_analyzer	memory_software entertainment_software	0.04	1	96	
science_mining_2	scientific_equipment scientist_clothing_container	research_disk prototype_schematics acid	0.04	1	96	
science_mining_3	quasi_sensor_device	moon_bones moon_guts demonic_shards quasisamples	0.04	1	96	
science_mining_4	quasi_sensor_device	mercury_guts mercury_scales demonic_shards quasisamples	0.04	1	96	
science_mining_5	quasi_sensor_device	aztec_guts venus_armor_shards demonic_shards quasisamples	0.04	1	96	
food_mining_1	hydraulic_pump worker_clothing_container	acid water_container water_container	0.03	1	96	
food_mining_2	welding_machine_device	biomass_tank biomass_tank biomass_tank organsBox acid	0.03	1	96	
food_mining_3	hydraulic_pump	biomass_tank biomass_tank biomass_tank water_container	0.03	1	96	
food_mining_4	packaged_industrial_robot	acid organsBox	0.03	1	96	
spy_mining_1	automap	expert_disk personalKey ledgerBook management_unit darknet_unit military_unit	0.04	1	96	
spy_mining_2	regular_clothing_container	management_unit darknet_unit military_unit	0.04	1	96	
spy_mining_3	defibrillator_device	expert_disk personalKey ledgerBook	0.04	1	96	
prod_industry_1	precious_metals	wire	0.03	1	96	
prod_industry_2	coarse_gears rod	robot_parts_container	0.03	1	96	
prod_industry_3	pierce_melee_shards blunt_melee_shards	electrical_parts_container	0.03	1	96	
prod_industry_4	rusty_shards acid	transformer	0.03	1	96	
prod_industry_5	precious_metals	capacitor	0.03	1	96	
prod_industry_6	armor_shards blunt_melee_shards	tool_container	0.03	1	96	
prod_industry_7	ceramite_shards weapon_shards	military_parts_container military_parts_container military_parts_container	0.03	1	96	
prod_industry_8	rusty_shards rod	engineering_parts_container	0.03	1	96	
science_industry_1	acid	explosives explosives	0.04	1	96	
science_industry_2	ceramite_shards	lens bulb	0.04	1	96	
science_industry_3	water_container rusty_shards	medical_components	0.04	1	96	
science_industry_4	organsBox armor_shards	surgicalKit	0.04	1	96	
science_industry_5	rusty_shards	circuit_board circuit_board	0.04	1	96	
science_industry_6	precious_metals	microelectronics circuit_board	0.04	1	96	
science_industry_7	weapon_shards prototype_schematics	ai_module ai_module	0.04	1	96	
science_industry_8	coarse_gears	communication_relay communication_relay	0.04	1	96	
food_industry_1	water_container biomass_tank	regular_food_container	0.03	1	96	
food_industry_2	biomass_tank biomass_tank	military_food_container	0.03	1	96	
food_industry_3	organsBox acid	luxury_food_container	0.03	1	96	
food_industry_4	water_container	alcogol_container	0.03	1	96	
other_industry_1	pierce_melee_shards	regular_clothing_container	0.03	1	96	
other_industry_2	rusty_shards	miner_clothing_container circuit_board	0.03	1	96	
other_industry_3	armor_shards	worker_clothing_container	0.03	1	96	
other_industry_4	personalKey	scientist_clothing_container	0.03	1	96	
other_industry_5	ceramite_shards weapon_shards	security_clothing_container	0.03	1	96	
other_industry_6	biomass_tank	drug_cargo organsBox	0.03	1	96	
other_industry_7	security_clothing_container	automap	0.03	1	96	
prod_devices_1	engineering_parts_container explosives ai_module	mining_equipment mining_equipment	0.03	1	96	
prod_devices_2	tool_container explosives lens	construction_equipment construction_equipment	0.03	1	96	
prod_devices_3	electrical_parts_container circuit_board	welding_machine_device welding_machine_device	0.03	1	96	
prod_devices_4	robot_parts_container circuit_board tool_container	packaged_industrial_robot packaged_industrial_robot packaged_industrial_robot	0.03	1	96	
prod_devices_5	robot_parts_container microelectronics communication_relay	packaged_recreational_robot	0.03	1	96	
prod_devices_6	electrical_parts_container wire	hydraulic_pump	0.03	1	96	
military_devices_1	military_parts_container explosives	weapon_container	0.03	4	96	
military_devices_2	military_parts_container tool_container	armor_container	0.03	4	96	
military_devices_3	memory_software	gunbang_magazine	0.03	4	96	
military_devices_4	communication_relay circuit_board bulb	automap packaged_security_robot	0.03	4	96	
military_devices_5	microelectronics bulb	nanorobot_grenade	0.03	4	96	
military_devices_6	robot_parts_container ai_module military_parts_container	packaged_security_robot packaged_security_robot	0.03	4	96	
