#mercenary_profiles																		
Id	ModifyStartCost	ModifyStep	Health	ResistSheet	WoundSlots	MeleeDamage	MeleeAccuracy	RangeAccuracy	ReceiveAmputationChance	ReceiveWoundChanceMult	AttackWoundChanceMult	Dodge	Los	StarvationLimit	PainThresholdLimit	PainThresholdRegen	Gender	TalentPerkId
axe_rage_master	Passive	MeleeHitOnEnemy	Blade Axe Chainsaw		1	150	axe_rage_legend	FDoAmpChance 0.15 FDoWoundChance 0.15										
axe_rage_legend	Passive	MeleeHitOnEnemy	Blade Axe Chainsaw					FDoAmpChance 0.25 FDoWoundChance 0.20										
perfect_opener_basic	Trigger	ShotFirstBullet			10	50	perfect_opener_advanced	IDuration 1 ICooldown 20 IActivation 50 FRangeAccuracy 0.05 FRangeCritChance 0.05 BActionPointDuration true										
perfect_opener_advanced	Trigger	ShotFirstBullet			10	100	perfect_opener_master	IDuration 1 ICooldown 20 IActivation 50 FRangeAccuracy 0.10 FRangeCritChance 0.10 BActionPointDuration true										
perfect_opener_master	Trigger	ShotFirstBullet			10	150	perfect_opener_legend	IDuration 1 ICooldown 20 IActivation 50 FRangeAccuracy 0.15 FRangeCritChance 0.15 BActionPointDuration true										
perfect_opener_legend	Trigger	ShotFirstBullet						IDuration 1 ICooldown 20 IActivation 50 FRangeAccuracy 0.30 FRangeCritChance 0.30 BActionPointDuration true										
weak_point_basic	Passive	ShotRangedWeapon	AssaultRifle Machinegun MarksmanRifle Minigun		1	50	weak_point_advanced	FArmorPenetration 0.10										
weak_point_advanced	Passive	ShotRangedWeapon	AssaultRifle Machinegun MarksmanRifle Minigun		1	100	weak_point_master	FArmorPenetration 0.15										
weak_point_master	Passive	ShotRangedWeapon	AssaultRifle Machinegun MarksmanRifle Minigun		1	150	weak_point_legend	FArmorPenetration 0.20										
weak_point_legend	Passive	ShotRangedWeapon	AssaultRifle Machinegun MarksmanRifle Minigun					FArmorPenetration 0.25										
enhanced_heavy_ammo_basic	Passive	ShotHeavyAmmo			1	50	enhanced_heavy_ammo_advanced	IHeavyAmmoBleedDamage 1										
enhanced_heavy_ammo_advanced	Passive	ShotHeavyAmmo			1	100	enhanced_heavy_ammo_master	IHeavyAmmoBleedDamage 2										
enhanced_heavy_ammo_master	Passive	ShotHeavyAmmo			1	150	enhanced_heavy_ammo_legend	IHeavyAmmoBleedDamage 4										
enhanced_heavy_ammo_legend	Passive	ShotHeavyAmmo						IHeavyAmmoBleedDamage 6										
arsonist_basic	Passive	OnFireBeamAttack			1	50	arsonist_advanced	FBurnChanceBonus 0.10										
arsonist_advanced	Passive	OnFireBeamAttack			1	100	arsonist_master	FBurnChanceBonus 0.20										
arsonist_master	Passive	OnFireBeamAttack			1	150	arsonist_legend	FBurnChanceBonus 0.30										
arsonist_legend	Passive	OnFireBeamAttack						FBurnChanceBonus 0.40										
reinforced_battery_basic	Passive	ShotBatteryAmmo			1	50	reinforced_battery_advanced	FBatteryAmmoDamage 0.10										
reinforced_battery_advanced	Passive	ShotBatteryAmmo			1	100	reinforced_battery_master	FBatteryAmmoDamage 0.15										
reinforced_battery_master	Passive	ShotBatteryAmmo			1	150	reinforced_battery_legend	FBatteryAmmoDamage 0.20										
reinforced_battery_legend	Passive	ShotBatteryAmmo						FBatteryAmmoDamage 0.25										
elemental_resist_basic	Trigger	PlayerHitted			10	50	elemental_resist_advanced	IDuration 20 ICooldown 20 IActivation 50 FElementalResists 0.20										
elemental_resist_advanced	Trigger	PlayerHitted			10	100	elemental_resist_master	IDuration 20 ICooldown 20 IActivation 50 FElementalResists 0.30										
elemental_resist_master	Trigger	PlayerHitted			10	150	elemental_resist_legend	IDuration 20 ICooldown 20 IActivation 50 FElementalResists 0.40										
elemental_resist_legend	Trigger	PlayerHitted						IDuration 20 ICooldown 20 IActivation 50 FElementalResists 0.50										
cheap_shot_basic	Trigger	OnStealthAttack			10	50	cheap_shot_advanced	IDuration 4 ICooldown 15 IActivation 30 FCritChance 0.02										
cheap_shot_advanced	Trigger	OnStealthAttack			10	100	cheap_shot_master	IDuration 6 ICooldown 15 IActivation 30 FCritChance 0.05										
cheap_shot_master	Trigger	OnStealthAttack			10	150	cheap_shot_legend	IDuration 8 ICooldown 15 IActivation 30 FCritChance 0.10										
cheap_shot_legend	Trigger	OnStealthAttack						IDuration 12 ICooldown 15 IActivation 30 FCritChance 0.15										
proper_nutrition_basic	Passive	EatingFood			1	50	proper_nutrition_advanced	IFoodRegen 1										
proper_nutrition_advanced	Passive	EatingFood			1	100	proper_nutrition_master	IFoodRegen 2										
proper_nutrition_master	Passive	EatingFood			1	150	proper_nutrition_legend	IFoodRegen 3										
proper_nutrition_legend	Passive	EatingFood						IFoodRegen 4										
war_crime_basic	Trigger	AnyKill			5	50	war_crime_advanced	IDuration 1 ICooldown 20 IActivation 50 IEnemyStunDuration 1 IEnemyCount 1										
war_crime_advanced	Trigger	AnyKill			5	100	war_crime_master	IDuration 1 ICooldown 20 IActivation 50 IEnemyStunDuration 1 IEnemyCount 2										
war_crime_master	Trigger	AnyKill			5	150	war_crime_legend	IDuration 1 ICooldown 20 IActivation 50 IEnemyStunDuration 1 IEnemyCount 3										
war_crime_legend	Trigger	AnyKill						IDuration 1 ICooldown 20 IActivation 50 IEnemyStunDuration 1 IEnemyCount 4										
ultimate_explosion	Ultimate	None			0	0		BSelectTarget true IQuasiLevel 200 ICooldown 50 BExplosion true IExplosionMinDamage 25 IExplosionMaxDamage 50 IExplosionRadius 3 SDamageType fire										
ultimate_ray	Ultimate	None			0	0		BSelectTarget true IQuasiLevel 100 ICooldown 50 BRay true IRayMinDamage 25 IRayMaxDamage 50 SDamageType fire										
ultimate_transformation	Ultimate	None			0	0		IQuasiLevel 200 ICooldown 50 BItemExplode true IItemExplodeRadius 5 IItemExplodeDamage 15 SDamageType pierce										
ultimate_blood_strike	Ultimate	None			0	0		IQuasiLevel 200 ICooldown 50 BBloodStrike true IBloodRadius 10 IBloodDamage 5 SDamageType pierce										
ultimate_bloodlust	Ultimate	None			0	0		IQuasiLevel 200 ICooldown 50 BBloodLust true IBloodRadius 10 IBloodToHealth 5										
ultimate_call_of_blood	Ultimate	None			0	0		IQuasiLevel 200 ICooldown 50 BBloodRessurect true IBloodRadius 10 SBloodRessurectMonster venus_slave										
ultimate_feathered_serpent	Ultimate	None			0	0		BSelectTarget true IQuasiLevel 200 ICooldown 50 BMakeAlly true IAllyLifetime 10										
ultimate_contract_mercury	Ultimate	None			0	0		IQuasiLevel 300 ICooldown 50 BMutate true SQuasimorph mercury_baron IMutateDuration 100										
ultimate_contract_venus	Ultimate	None			0	0		IQuasiLevel 300 ICooldown 50 BMutate true SQuasimorph venus_baron IMutateDuration 100										
ultimate_contract_luna	Ultimate	None			0	0		IQuasiLevel 300 ICooldown 50 BMutate true SQuasimorph moon_baron IMutateDuration 100										
ultimate_resurrection	Ultimate	None			0	0		IQuasiLevel 100 ICooldown 50 BRessurect true SRessurectMonster moon_slave IRessurectRadius 10										
#end																		
